order_id,item_id
44,393
37,393
35,718
24,94
16,122
22,513
40,837
28,184
50,696
33,670
46,742
7,231
41,471
44,663
32,870
32,209
11,311
1,605
37,549
21,780
47,682
12,910
41,999
37,81
48,717
2,584
10,110
38,432
30,576
19,769
32,575
38,429
8,536
21,108
24,890
36,340
29,67
17,7
14,225
2,521
24,526
34,78
2,723
50,831
30,41
16,150
28,219
1,93
6,720
12,98
29,602
11,335
41,877
38,917
47,751
31,724
30,965
45,538
21,801
33,673
36,431
11,773
18,109
2,371
23,915
47,739
15,906
50,444
22,191
9,269
26,712
20,377
2,213
3,156
23,876
28,93
35,736
49,467
27,802
27,632
47,218
43,14
50,186
18,99
37,167
5,949
14,729
1,2
2,380
31,240
20,542
31,303
42,899
16,744
37,518
49,872
7,693
20,798
15,3
33,857
